timestep,action
1,FL
2,BL
3,F
4,F
5,BL
6,L
7,H
8,FL
9,R
10,F
11,H
12,L
13,BR
14,F
15,FR
16,FR
17,B
18,FL
19,FL
20,BL
21,BL
22,B
23,H
24,R
25,FR
26,BL
27,R
28,FR
29,R
30,R
31,F
32,B
33,H
34,FR
35,FL
36,BL
37,F
38,FL
39,FL
40,B
41,BL
42,L
43,FL
44,BR
45,BL
46,R
47,F
48,BL
49,B
50,B
51,BL
52,B
53,L
54,BR
55,L
56,R
57,FR
58,BL
59,BL
60,FR
61,R
62,FR
63,H
64,BR
65,H
66,H
67,B
68,L
69,L
70,H
71,FR
72,BL
73,B
74,BR
75,R
76,H
77,BL
78,R
79,FL
80,BR
81,L
82,L
83,H
84,BL
85,BR
86,H
87,F
88,R
89,FL
90,L
91,FL
92,L
93,F
94,B
95,R
96,FL
97,B
98,BL
99,R
100,BL
101,FL
102,BL
103,L
104,FL
105,H
106,BL
107,R
108,L
109,R
110,H
111,BR
112,FL
113,H
114,B
115,FR
116,FR
