#{"t_start": 1646622810.51222, "env_id": null}
r,l,t
-8.0,15,52.646215
-12.5,15,84.113884
-15,15,126.514772
-15,15,157.837597
-15,15,198.171731
15.0,3,210.887079
1.5,15,261.42656
-15,15,301.941151
1.5,15,336.340111
-15,15,348.482312
-15,15,389.959192
-7.0,15,429.574524
-5.5,15,458.144309
-2.5,15,502.047033
-15,15,539.451782
7.0,11,561.302869
-8.0,15,602.628469
-15,15,641.417075
-5.5,15,679.122643
-15,15,725.948753
-12.5,15,767.099866
-1.0,15,799.499899
-4.0,15,827.38838
-15,15,865.622675
0.0,15,899.510531
-15,15,931.467247
-15,15,971.196631
-15,15,1016.133488
-15,15,1044.520794
-15,15,1082.908387
-4.0,15,1130.329717
-15,15,1158.05953
-9.5,15,1192.602771
-15,15,1221.055777
-4.0,15,1249.137152
-15,15,1278.042265
-9.5,15,1321.291075
-15,15,1362.801558
-15,15,1393.010164
-15,15,1424.232439
-15,15,1474.032285
-15,15,1510.262748
-15,15,1548.536312
0.0,15,1589.181592
-15,15,1627.147777
0.5,15,1664.396686
-15,15,1696.691464
1.5,15,1738.049917
-15,15,1768.923768
-1.0,15,1807.439324
-15,15,1841.678753
-15,15,1882.802822
-15,15,1920.532346
-1.0,15,1963.722407
-15,15,2007.423049
-15,15,2039.58556
-15,15,2076.870874
-15,15,2114.808918
-9.5,15,2146.629365
-12.5,15,2196.526333
-3.5,15,2242.831356
-15,15,2273.042565
-15,15,2308.662938
-9.5,15,2352.702992
-15,15,2393.518121
-15,15,2424.71725
-1.5,15,2461.434321
-8.0,15,2500.214971
-15,15,2534.963004
-15,15,2577.791301
4.0,15,2610.307431
-12.5,15,2658.898416
-3.0,15,2690.567448
-15,15,2732.6541
1.5,15,2761.412351
0.5,15,2792.224768
0.0,15,2824.329247
-9.5,15,2849.777825
-9.5,15,2881.843854
-15,15,2925.203948
-15,15,2951.481593
-9.5,15,2990.370149
-15,15,3028.243772
-9.5,15,3056.629698
-15,15,3098.424214
-15,15,3139.659135
9.0,10,3158.87158
-15,15,3177.739887
-15,15,3213.119253
-15,15,3257.107199
-12.5,15,3300.099637
-5.5,15,3323.971339
-15,15,3346.972992
-4.5,15,3384.512938
-7.0,15,3418.35291
-15,15,3463.503994
-15,15,3498.546863
-15,15,3529.748628
-2.5,15,3557.559186
0.0,15,3603.70013
-15,15,3620.147394
-15,15,3659.731692
-15,15,3685.46715
-8.0,15,3721.180963
-9.5,15,3765.597327
-1.5,15,3790.28076
5.0,14,3827.864983
-15,15,3866.149899
-9.5,15,3900.352204
-5.5,15,3935.144186
-15,15,3971.962029
-15,15,4002.544685
-9.5,15,4034.313685
-5.5,15,4074.492896
14.0,4,4087.035915
-5.5,15,4121.239733
-9.5,15,4149.531167
13.0,5,4163.159081
-4.0,15,4194.795332
10.0,8,4214.988473
-7.0,15,4254.307436
-15,15,4288.674699
-15,15,4323.551697
-15,15,4357.633048
-2.5,15,4397.053389
1.5,15,4422.266125
-6.5,15,4463.154825
12.0,7,4485.683603
-15,15,4517.933525
-4.5,15,4548.627867
-12.5,15,4587.03213
-15,15,4630.98835
-15,15,4667.700375
-15,15,4696.036121
