#{"t_start": 1648178860.4584625, "env_id": null}
r,l,t
5.0,16,68.174336
13.0,9,103.974369
12.0,8,140.735372
-1.5,20,203.882608
11.0,10,240.626986
7.0,14,287.894326
-1.5,20,349.705487
8.0,11,386.21898
7.0,13,432.524933
10.0,11,475.30645
4.0,16,528.605421
11.0,8,560.05765
3.0,19,620.881056
8.0,14,667.446397
-3.0,20,739.301079
10.0,11,775.076037
9.0,10,814.267453
9.0,10,850.37341
-5.5,20,924.51056
-2.5,20,992.470847
2.0,16,1053.132601
-1.5,20,1114.394632
6.0,14,1164.281756
-1.5,20,1223.946316
-5.5,20,1287.530229
8.0,12,1323.027977
8.0,12,1365.050318
1.0,19,1432.264184
3.0,18,1489.265024
-1.5,20,1549.503109
10.0,11,1591.674738
12.0,8,1623.88049
6.0,14,1663.513803
5.0,16,1723.783196
-7.0,20,1790.042598
11.0,9,1825.637668
11.0,8,1857.614184
-1.5,20,1924.292527
-1.5,20,1986.454491
-1.5,20,2053.239987
2.5,16,2102.504988
10.0,11,2145.465843
2.0,18,2212.280341
7.0,12,2251.424206
11.0,9,2283.911039
9.0,11,2322.915057
0.0,20,2386.811888
9.0,12,2432.933823
-1.5,20,2499.665733
9.0,10,2538.365328
10.0,9,2571.356054
10.0,10,2610.707213
-1.5,20,2668.139024
6.0,16,2721.533818
4.0,17,2780.975151
10.0,11,2823.591934
5.5,12,2862.909198
4.0,15,2920.257115
9.0,11,2963.054657
4.0,17,2999.478937
1.0,18,3056.485516
7.0,12,3094.934907
4.0,18,3159.065892
10.0,10,3197.515796
10.0,9,3230.313298
-7.5,20,3287.308894
10.0,9,3319.861247
12.0,9,3355.555132
12.0,8,3387.800612
9.0,12,3433.461587
-6.0,20,3497.967285
5.0,16,3548.199761
9.0,11,3589.946388
10.0,8,3622.120476
12.0,9,3657.841961
-3.0,20,3720.938506
-7.0,20,3754.003027
-0.5,20,3821.918697
11.0,8,3854.212621
3.0,18,3920.838871
10.0,10,3959.133205
11.0,8,3991.333273
10.0,11,4030.566571
4.0,16,4087.189201
8.0,12,4133.51513
10.0,10,4169.160657
-0.5,20,4236.274119
5.0,16,4288.893215
4.0,17,4352.715929
7.0,13,4398.205735
9.0,12,4441.196099
7.0,14,4480.554683
9.0,10,4519.885395
-4.0,20,4553.933096
7.0,14,4606.754205
9.0,14,4646.546086
9.0,10,4685.550027
-1.5,20,4759.756824
7.0,13,4798.086266
8.0,10,4837.432967
6.0,15,4891.578422
-2.5,20,4966.20143
-0.5,20,5036.37455
9.0,11,5074.59673
11.0,10,5110.6936
10.0,10,5151.414308
11.0,8,5185.614694
9.0,11,5230.017366
8.0,12,5274.309011
9.0,11,5314.977148
9.0,11,5355.80441
0.0,20,5429.506416
8.5,10,5463.72704
10.0,10,5501.251844
9.0,11,5541.915137
0.0,20,5583.280643
-4.0,20,5645.858366
-1.5,20,5711.356603
2.0,16,5766.046875
9.0,13,5806.877889
6.0,13,5854.440471
2.0,18,5921.349742
9.0,11,5961.626948
7.0,14,6009.006993
9.0,10,6045.872025
2.0,19,6093.844702
8.0,11,6134.45039
-6.5,20,6202.721187
10.0,11,6246.537151
6.0,14,6298.15264
10.0,9,6334.305869
10.0,12,6377.735516
9.0,12,6421.795286
3.0,16,6469.900368
12.0,8,6504.190661
10.0,10,6541.368644
-3.5,20,6611.555688
10.0,10,6652.699767
4.0,15,6711.332789
-0.5,20,6778.169923
10.0,10,6818.647897
5.0,16,6880.579361
6.0,13,6928.857385
3.0,18,6969.957658
-2.5,20,7030.007047
-2.0,20,7098.416465
10.0,10,7135.39814
-0.5,20,7197.95718
9.0,10,7238.712898
-2.5,20,7304.740944
-1.5,20,7370.868772
2.0,17,7425.33936
-4.0,20,7497.655863
1.0,20,7569.937318
-0.5,20,7639.417736
-4.0,20,7705.222055
-3.5,20,7761.514033
6.0,13,7799.509539
-0.5,20,7869.226421
7.5,10,7909.028339
11.0,10,7949.895184
-1.5,20,8020.49358
8.0,10,8061.520906
-9.0,20,8115.326919
8.0,12,8156.255109
-1.5,20,8222.797781
-2.5,20,8283.058769
11.0,8,8316.373641
11.0,8,8349.821136
9.0,10,8390.538617
11.0,13,8438.814523
5.0,15,8493.662533
12.0,9,8531.113875
10.0,10,8571.992553
3.0,18,8635.544317
8.0,13,8683.705062
7.0,13,8728.307956
10.0,11,8769.49188
9.0,10,8810.745981
2.0,19,8873.940025
3.0,17,8933.011325
-0.5,20,8997.989045
10.0,12,9045.380337
7.0,13,9093.120033
0.0,20,9159.73402
8.0,13,9207.944922
10.0,11,9250.685853
-1.5,20,9313.829369
4.0,17,9376.510529
9.0,10,9417.68926
12.0,8,9451.837995
7.0,13,9496.544804
-3.5,20,9562.816601
10.0,10,9600.358485
-0.5,20,9663.503428
-2.5,20,9727.499684
10.0,10,9768.201647
6.5,11,9809.257098
3.0,17,9876.657789
10.0,11,9916.499008
7.0,14,9961.23505
-2.5,20,10024.575851
3.0,17,10082.962248
8.0,12,10123.438709
2.0,18,10192.966325
9.0,12,10236.528533
-0.5,20,10298.495971
8.0,13,10343.740883
8.0,12,10393.061623
11.0,12,10439.282057
11.0,11,10484.82536
3.0,18,10557.05251
8.0,12,10606.554722
9.0,11,10648.779197
8.0,13,10702.617179
7.0,14,10755.773792
-2.5,20,10823.537668
10.0,10,10865.953367
10.0,10,10904.589657
9.0,10,10946.62143
4.0,17,11011.523911
4.0,17,11060.67945
11.0,10,11099.796353
9.0,11,11141.885996
10.0,10,11184.280202
8.0,10,11226.681266
4.0,16,11280.744531
-6.5,20,11323.095967
10.0,11,11368.868698
-1.5,20,11438.00483
10.0,10,11480.057687
9.0,10,11522.252042
11.0,8,11557.234812
11.0,9,11595.573164
12.0,8,11630.194638
3.0,18,11698.894564
-2.5,20,11766.335005
7.0,13,11819.668714
6.0,14,11868.558007
9.0,11,11910.826982
8.0,10,11949.529855
3.0,19,12003.253143
10.0,10,12045.203798
8.0,13,12087.940418
7.0,13,12130.430951
10.0,11,12172.767938
8.0,13,12211.936757
1.0,20,12285.217058
5.0,16,12334.942444
5.0,17,12403.50313
6.0,17,12461.13867
-1.5,20,12532.717728
5.0,18,12592.963848
9.0,10,12633.665769
8.0,12,12682.362409
9.0,11,12724.436658
7.0,13,12773.950061
6.0,16,12834.840322
-2.5,20,12898.426399
10.0,10,12936.471937
9.0,12,12982.011325
-1.5,20,13054.150058
11.0,9,13088.722295
8.0,11,13130.293556
11.0,9,13168.901762
7.0,15,13229.94322
5.0,16,13286.089675
-8.0,20,13353.982722
12.0,8,13388.216368
-1.5,20,13460.437169
7.0,12,13509.167398
9.0,10,13546.12794
10.0,9,13584.602443
5.0,14,13642.249433
8.0,14,13694.997749
-7.0,20,13767.657765
5.0,16,13829.006421
9.0,11,13863.38574
9.0,12,13908.594656
9.0,10,13950.586732
10.0,10,13992.208857
9.0,10,14034.623369
-8.0,20,14114.411032
-4.0,20,14164.153403
8.0,14,14209.695398
10.0,10,14248.084065
9.0,9,14285.444156
9.0,13,14334.820989
6.0,15,14387.834126
-7.0,20,14455.511296
6.0,15,14504.205472
0.5,20,14576.344429
10.0,11,14621.602744
10.0,10,14659.716043
-4.0,20,14731.044
10.0,9,14764.495836
7.0,13,14813.946512
9.0,13,14863.666161
9.0,11,14904.337908
9.0,11,14946.03649
11.0,8,14980.837423
10.0,12,15029.809049
13.0,9,15068.207854
9.0,12,15116.587174
-2.5,20,15188.447834
7.0,13,15240.808755
6.0,14,15289.238321
9.0,10,15331.355387
-1.5,20,15399.753073
7.0,15,15444.844932
9.0,14,15490.165991
-8.0,20,15525.552363
8.0,11,15567.633095
9.0,11,15609.809433
0.0,20,15685.065508
11.0,10,15727.380463
11.0,10,15766.074058
0.5,20,15834.344065
9.0,13,15880.207962
-2.5,20,15939.591164
10.0,11,15986.838897
10.0,10,16030.028
6.0,14,16084.893373
9.0,13,16131.672897
8.0,12,16175.292101
7.0,11,16219.0666
8.0,13,16266.248563
8.0,12,16305.864544
8.0,13,16356.537404
5.0,17,16422.709555
6.0,15,16470.370356
7.0,12,16520.683318
9.0,13,16575.402256
-3.0,20,16650.805117
9.0,10,16694.366637
9.0,11,16738.059
10.0,10,16781.51282
10.0,12,16828.669434
9.0,10,16871.459392
6.0,16,16937.172955
11.0,11,16983.691439
-3.5,20,17060.791197
8.0,14,17118.967753
10.0,9,17158.167714
10.0,9,17197.701803
1.0,19,17271.945187
7.0,14,17323.140509
11.0,10,17364.811351
-3.0,20,17429.01311
6.0,13,17472.547426
7.0,11,17515.797771
8.0,11,17559.047756
8.0,12,17609.685598
14.0,9,17649.217099
11.0,10,17691.986952
1.0,19,17770.892517
11.0,9,17809.34059
10.0,9,17848.706603
-6.5,20,17882.033222
9.0,11,17925.688851
10.0,11,17965.610729
7.0,12,18008.788313
11.0,10,18052.447836
8.0,10,18096.192538
11.0,10,18139.56443
-8.0,20,18176.691231
7.0,12,18227.995798
11.0,8,18262.777418
10.0,10,18302.653164
7.0,13,18357.671249
-1.5,20,18423.878507
10.0,10,18466.715122
1.0,20,18536.837233
9.0,11,18582.278419
8.0,11,18625.415035
10.0,11,18672.554838
9.0,11,18715.740817
3.0,17,18781.7551
-3.0,20,18856.505798
8.0,12,18899.424278
10.0,9,18939.006111
2.0,18,19008.816297
12.0,9,19044.695006
8.0,11,19084.842416
10.0,11,19131.540087
10.0,10,19174.60637
0.0,20,19248.87601
-11.0,20,19319.527224
10.0,10,19361.7778
0.5,20,19432.866581
7.0,13,19480.015719
9.0,11,19523.35918
-1.5,20,19601.856065
11.0,10,19641.142074
-1.5,20,19707.807103
7.0,12,19755.010692
5.0,16,19813.128011
11.0,9,19852.78
12.0,9,19892.238809
8.0,12,19940.23713
4.0,17,20001.947659
8.0,12,20052.042014
11.0,10,20090.938966
7.0,14,20145.845008
11.0,9,20180.572233
7.0,13,20231.442847
10.0,11,20274.503434
12.0,8,20310.011876
7.0,14,20360.486077
-2.5,20,20424.173215
9.0,11,20466.919379
-1.5,20,20544.091878
6.0,14,20598.418403
12.0,9,20637.59129
8.0,14,20696.072152
0.5,20,20774.272585
8.0,12,20824.560679
9.0,11,20867.627076
9.0,10,20910.794593
2.0,18,20985.119487
8.0,12,21031.483071
10.0,9,21067.140118
-1.5,20,21141.029266
9.0,11,21186.414271
-0.5,20,21267.491578
9.0,10,21306.225367
9.0,10,21349.849491
7.0,14,21400.720247
10.0,10,21443.737628
9.0,10,21487.331845
9.0,10,21531.091368
4.0,17,21598.445395
10.0,10,21637.884244
7.0,15,21692.126355
12.0,9,21730.628555
-2.5,20,21805.276019
-15.0,20,21834.20776
-0.5,20,21904.34939
12.0,9,21944.182955
9.5,8,21979.775352
-3.0,20,22061.002776
0.0,19,22130.758667
10.0,8,22168.121422
9.0,12,22215.435982
3.0,17,22274.481077
-0.5,20,22344.932676
8.0,13,22395.681654
12.0,10,22439.077108
4.0,17,22501.55985
11.0,8,22537.047675
8.0,12,22580.69884
7.0,13,22631.845029
8.0,13,22686.338267
11.0,7,22718.015978
12.0,8,22754.311974
-3.0,20,22828.671298
6.0,16,22895.810871
10.0,11,22934.138312
8.0,12,22977.208261
0.0,20,23055.320483
9.0,12,23106.889164
-1.5,20,23177.000705
3.0,17,23232.220414
-1.5,20,23292.385926
9.0,11,23339.006877
10.0,11,23385.970117
6.0,14,23436.973225
9.0,11,23480.385602
12.0,9,23520.242917
10.0,10,23563.503876
9.0,11,23606.798517
7.0,13,23657.763117
9.0,11,23699.977049
10.0,10,23743.390982
11.0,9,23782.848892
6.0,14,23833.504751
9.0,13,23884.380755
8.0,11,23927.689098
9.0,12,23974.740379
2.0,19,24049.316564
4.0,16,24095.733543
9.0,10,24139.00722
9.0,10,24182.435592
10.0,9,24222.679986
8.0,13,24277.124724
11.0,11,24316.883209
12.0,8,24352.332295
8.0,11,24395.184494
-1.5,20,24461.986432
4.0,18,24512.849955
11.0,11,24559.741985
10.0,11,24602.851766
7.0,12,24653.295815
9.0,11,24700.761174
12.0,8,24735.464307
-2.5,20,24806.473532
7.0,15,24865.47521
8.0,11,24907.479082
11.0,9,24942.990443
7.0,12,24986.584859
4.0,17,25053.050619
9.0,13,25099.391046
9.0,10,25138.991113
9.0,10,25182.522104
-3.0,20,25259.761715
8.0,12,25306.493101
9.0,10,25349.929811
5.0,16,25413.42631
8.0,12,25463.975944
11.0,8,25500.010092
5.0,15,25558.825241
8.0,12,25610.081198
10.0,10,25653.404964
10.0,8,25689.641629
10.0,9,25729.371722
4.0,18,25791.344198
8.0,12,25841.555441
7.0,13,25891.966253
-2.0,20,25962.02589
9.0,11,26007.79698
-1.5,20,26078.436465
10.0,11,26125.444958
11.0,9,26164.550701
9.0,11,26211.196443
9.0,11,26250.623127
-0.5,20,26320.775849
10.0,11,26364.010044
3.0,17,26427.029678
8.0,11,26473.623018
10.0,10,26516.934262
7.0,14,26568.492048
6.0,13,26622.569578
10.0,10,26662.492878
7.0,13,26713.714374
10.0,9,26752.150584
10.0,10,26795.740109
-4.0,20,26854.962788
7.0,14,26908.566288
-2.5,20,26972.097964
10.0,11,27015.174929
5.0,15,27066.451178
10.0,11,27110.14069
9.0,12,27157.126592
11.0,8,27193.23785
10.0,11,27239.680081
-1.5,20,27317.301805
10.0,11,27362.302823
7.0,14,27415.356997
6.0,13,27465.816506
-1.5,20,27521.501679
7.0,13,27575.661757
-2.5,20,27655.770005
8.0,11,27698.228405
9.0,12,27748.280495
-1.5,20,27825.778891
4.0,17,27895.610302
7.0,13,27949.422457
0.5,20,28028.978805
9.0,10,28067.793395
10.0,11,28110.733459
10.0,11,28150.52984
9.0,12,28193.973265
-1.5,20,28270.859328
10.0,11,28317.277562
-1.5,20,28398.147284
9.0,10,28440.41826
10.0,9,28476.462643
-5.0,20,28553.612605
6.0,14,28610.789795
11.0,9,28645.566369
-4.0,20,28716.260758
-0.5,20,28782.450118
9.0,12,28829.229638
9.0,10,28864.841059
10.0,11,28907.683894
9.0,10,28950.347523
9.0,10,28992.959247
2.0,18,29040.432708
-5.0,20,29080.637093
4.0,18,29153.380334
-1.5,20,29218.792366
9.0,9,29254.762534
4.0,17,29301.953331
5.0,15,29357.048942
11.0,8,29391.575297
10.0,11,29433.873821
-0.5,20,29488.428699
10.0,11,29531.094828
5.0,15,29590.164318
6.0,16,29644.883399
9.0,11,29686.370371
0.5,20,29752.805722
13.0,9,29792.230155
11.0,10,29834.903696
10.0,11,29874.496809
0.5,20,29944.212799
-4.0,20,29994.142732
12.0,8,30029.463281
8.0,10,30072.311251
8.0,13,30123.551398
6.0,13,30177.469853
7.0,15,30239.131851
7.0,13,30289.706363
-1.5,20,30359.765232
10.0,10,30403.084716
9.0,11,30445.851358
10.0,11,30488.953768
12.0,10,30531.904969
5.0,16,30598.087303
10.0,12,30645.065176
6.0,15,30707.125723
6.0,14,30765.002706
9.0,10,30807.532555
8.0,12,30858.012973
6.0,14,30908.827899
8.0,11,30955.761775
6.0,14,31010.012044
-3.5,20,31084.059799
-0.5,20,31138.819277
13.0,10,31181.720349
11.0,9,31221.086932
4.0,17,31286.688615
9.0,10,31329.109945
10.0,13,31383.433774
10.0,13,31433.526509
10.0,10,31472.794716
9.0,11,31515.242965
7.0,14,31573.062215
1.0,17,31637.193927
4.0,17,31702.255695
10.0,12,31751.652327
11.0,9,31790.516764
8.0,11,31829.195151
10.0,10,31871.017429
10.0,10,31913.780577
7.0,13,31963.242791
10.0,11,32009.325559
11.0,10,32051.751272
8.0,11,32090.752282
13.0,11,32137.091672
9.0,10,32179.527072
11.0,8,32215.362857
1.0,20,32270.27734
8.0,13,32324.810526
8.0,12,32367.053993
9.0,10,32410.270756
10.0,10,32453.669327
8.0,11,32500.558439
11.0,9,32540.156501
8.5,11,32586.803368
8.0,10,32629.568664
4.0,18,32684.479151
11.0,9,32719.830554
12.0,10,32762.536072
9.0,12,32805.398075
10.0,10,32848.450921
9.0,11,32894.884976
6.0,14,32941.026703
-5.0,20,33017.922895
8.0,14,33072.156735
-1.5,20,33137.736041
3.0,16,33173.099967
11.0,10,33216.123149
10.5,9,33255.231443
11.0,10,33297.685004
3.0,18,33370.576235
9.0,11,33416.208339
10.0,10,33455.285303
8.0,12,33505.215454
9.0,11,33551.12939
7.0,11,33589.6681
8.0,13,33636.271094
-1.5,20,33705.116526
9.0,11,33748.048523
8.0,10,33790.847786
7.0,14,33834.372065
8.0,10,33873.445022
3.0,17,33942.903323
7.0,13,33993.099837
3.0,18,34040.353869
6.0,15,34083.580049
9.0,11,34129.914906
10.0,10,34172.420786
-1.5,20,34241.198931
11.0,10,34280.544836
9.0,11,34323.769961
5.0,16,34386.330301
10.0,10,34429.357229
9.0,10,34472.289344
9.0,9,34508.189317
7.0,12,34558.589755
-1.5,20,34629.04259
10.0,11,34671.83441
10.0,12,34718.337689
5.0,17,34788.014521
12.0,9,34827.540862
9.0,10,34870.398153
11.0,10,34914.096431
5.0,15,34976.208198
5.0,16,35030.163877
11.0,10,35068.424438
7.0,13,35119.180031
9.0,10,35161.109393
-1.5,20,35238.521166
7.0,12,35288.642833
-2.5,20,35359.233889
10.0,8,35395.122412
9.0,12,35441.945519
-3.0,20,35508.030937
12.0,8,35542.563065
3.0,18,35612.643897
10.0,9,35651.791421
6.0,16,35714.731398
8.0,15,35765.415452
10.0,9,35804.795095
7.0,13,35854.970016
3.0,18,35899.002477
-3.0,20,35969.184792
9.0,11,36015.194144
7.0,15,36072.394904
5.0,15,36128.645626
12.0,8,36164.154477
-1.5,20,36236.918727
12.0,10,36275.139775
9.0,10,36316.932262
12.0,9,36355.966531
8.0,11,36397.853066
-5.5,20,36478.286674
8.0,12,36516.064406
-1.5,20,36589.566425
5.0,15,36651.449988
3.0,19,36711.471946
6.0,13,36765.580079
-0.5,20,36835.542705
6.0,14,36893.133936
8.0,10,36935.031858
9.0,10,36977.865604
10.0,10,37017.301317
8.0,13,37067.787544
10.0,10,37111.113985
9.0,10,37154.307214
12.0,9,37193.921355
7.0,14,37245.246367
9.0,10,37284.603746
10.0,11,37327.846837
11.0,10,37371.135195
9.0,11,37411.482853
7.0,11,37457.98726
9.0,8,37494.193403
5.0,14,37541.227199
8.0,12,37587.65694
10.0,10,37630.45881
9.0,11,37674.086455
9.0,11,37717.6577
12.0,8,37753.406666
9.0,11,37793.087467
6.0,14,37849.536791
5.0,16,37913.870494
7.0,11,37958.915736
8.0,10,37997.979585
11.0,11,38044.517317
10.0,10,38087.193661
4.0,19,38157.311333
8.0,11,38200.041855
5.0,15,38262.471266
10.0,11,38301.462076
10.0,8,38336.620138
11.0,11,38383.149591
12.0,10,38418.835355
6.0,14,38476.250506
11.0,9,38514.559223
9.0,12,38559.847379
11.0,9,38597.796376
10.0,10,38639.267716
10.0,11,38681.285445
12.0,8,38716.473268
8.0,12,38762.037052
9.0,11,38804.060513
-6.5,20,38883.437039
-7.0,20,38944.349358
8.0,14,38999.572887
8.0,10,39037.950182
12.0,9,39072.810441
-1.5,20,39151.419313
12.0,8,39185.517517
11.0,10,39227.206634
8.0,13,39277.381815
5.0,14,39335.30745
12.0,10,39376.800531
8.0,13,39426.000886
10.0,12,39472.425175
10.0,12,39513.433548
6.0,15,39574.807236
-4.0,20,39645.690647
11.0,10,39683.33025
7.0,13,39737.310894
0.5,20,39806.094985
7.0,14,39861.648343
5.0,16,39926.365072
12.0,9,39965.512948
10.0,10,40007.911145
9.0,10,40050.600198
8.0,12,40093.644563
10.0,13,40136.517237
6.0,14,40195.170251
-0.5,20,40263.591298
12.0,9,40302.538095
-0.5,20,40374.762665
7.0,13,40428.065194
12.0,8,40462.990045
-1.5,20,40533.003207
9.0,10,40571.039356
-1.5,20,40630.27659
7.0,15,40691.20417
-0.5,20,40762.054843
6.0,16,40824.025649
-1.5,20,40897.809738
9.0,12,40942.445195
-0.5,20,41008.133406
11.0,9,41043.574477
7.0,13,41094.373267
7.0,15,41154.092843
9.0,10,41194.94902
11.0,10,41237.260509
11.0,8,41272.358035
-0.5,20,41338.433976
4.5,15,41396.646892
-2.5,20,41469.849018
9.0,10,41510.824538
10.0,11,41556.537497
11.0,10,41598.76292
9.0,10,41641.843437
9.0,11,41687.924309
8.0,13,41740.667022
6.0,15,41793.757216
9.0,12,41840.148696
-6.5,20,41919.137791
9.0,10,41961.05014
10.0,10,41999.815984
8.0,12,42049.307773
10.0,10,42091.696741
9.0,13,42144.697335
-1.5,20,42206.506996
9.0,10,42248.889669
8.0,10,42291.342506
11.0,10,42334.108667
5.0,14,42377.229096
10.0,9,42412.361817
12.0,10,42451.467864
-1.5,20,42513.503964
11.0,8,42543.913236
9.0,10,42586.053897
7.0,14,42644.490857
7.0,14,42694.149615
9.0,12,42743.977227
8.0,15,42794.198317
9.0,12,42843.770247
10.0,11,42886.405433
10.0,11,42928.793681
7.0,11,42970.843706
6.0,14,43028.591645
10.0,10,43069.727616
3.0,16,43131.755851
6.0,15,43181.251163
9.0,11,43224.821358
10.0,11,43267.34849
6.0,15,43328.820995
10.0,11,43366.573164
-5.0,20,43439.293598
6.0,14,43493.914948
9.0,10,43536.099185
1.0,19,43612.595957
8.0,12,43661.976178
8.0,12,43707.76725
9.0,12,43756.59812
11.0,10,43799.653402
10.0,11,43845.021434
11.0,8,43879.991901
10.0,8,43915.25052
10.0,11,43958.645984
-3.5,20,44026.88813
11.0,10,44069.858086
11.0,11,44115.484517
7.0,13,44165.211095
11.0,8,44198.940182
-3.5,20,44257.932573
8.0,13,44311.095084
5.0,17,44378.715062
9.0,11,44424.896217
10.0,10,44467.145293
9.0,11,44513.544126
10.0,10,44555.30837
-2.5,20,44621.429158
12.0,9,44660.389265
10.0,11,44702.764828
-2.0,20,44768.236517
9.5,10,44807.322315
11.0,11,44850.398898
10.0,12,44897.041451
9.0,10,44939.381735
8.0,13,44989.929744
9.0,11,45036.234838
12.0,9,45075.430135
10.0,11,45118.331335
9.0,10,45161.391957
12.0,8,45197.019219
10.0,11,45243.739707
1.0,17,45287.108111
10.0,10,45329.983344
6.0,14,45380.780259
10.0,10,45420.418811
9.0,10,45462.712363
9.0,10,45505.743055
-1.5,20,45565.55732
10.0,10,45608.699442
10.0,10,45644.424026
7.5,10,45687.408157
8.0,11,45730.55664
6.0,13,45776.01807
11.0,8,45811.742069
6.0,13,45862.91484
9.0,11,45902.498336
7.0,12,45952.604194
10.0,11,45995.739964
11.0,10,46038.755442
11.0,9,46077.866336
12.0,8,46113.506145
2.0,19,46183.050778
-4.0,20,46252.221873
10.0,10,46295.166725
8.5,8,46330.827448
9.0,10,46374.190136
8.0,10,46417.088291
-1.5,20,46483.522763
-3.0,20,46563.071332
8.0,11,46606.187193
9.0,11,46646.099302
9.0,11,46688.877683
10.0,11,46731.956582
10.0,11,46778.496235
10.0,9,46814.132838
6.0,14,46872.845689
10.0,11,46919.676055
9.0,10,46962.650909
7.0,13,47013.419019
11.0,8,47049.20529
1.0,19,47123.081275
