timestep,action
1,BL
2,R
3,FR
4,F
5,R
6,L
7,R
8,R
9,B
10,L
11,R
12,L
13,F
14,BR
15,FR
16,F
17,BL
18,H
19,R
20,R
21,F
22,BR
23,BL
24,L
25,H
26,R
27,R
28,H
29,L
30,L
31,H
32,FL
33,L
34,BR
35,F
36,FR
37,H
38,F
39,R
40,L
41,BR
42,R
43,BL
44,FL
45,F
46,BR
47,FR
48,H
49,R
50,BR
51,L
52,L
53,R
54,B
55,B
56,FL
57,FR
58,FR
59,FR
60,F
61,R
62,F
63,BR
64,B
65,R
66,B
67,FL
68,FR
69,L
70,FL
71,F
72,R
73,B
74,H
75,F
76,R
77,BL
78,R
79,L
80,FL
81,BL
82,FR
83,R
84,R
85,FR
86,BL
87,FL
88,FL
89,FR
90,FL
91,BL
92,FR
93,F
94,F
95,F
96,R
97,FL
98,B
99,BR
100,H
101,FR
102,B
103,F
104,L
105,R
106,FR
107,FR
108,L
109,F
110,H
111,BL
112,L
113,FR
114,F
115,BL
116,FR
117,BR
118,BL
119,B
120,BL
121,R
122,BR
123,H
124,FL
125,H
126,F
127,FR
128,FR
129,BL
130,L
131,BR
132,BR
133,B
134,L
135,FR
136,R
137,F
138,R
139,B
140,B
141,BL
142,H
143,H
144,FR
145,H
146,BR
147,H
148,FL
