timestep,action
1,L
2,BR
3,B
4,B
5,L
6,L
7,BR
8,FL
9,F
10,FR
11,FR
12,FR
13,FR
14,R
15,BR
16,L
17,BR
18,B
19,BR
20,FR
21,FL
22,B
23,BR
24,FL
25,B
26,BR
27,L

29,R
30,BL
31,BL
32,R
33,FL
34,FR
35,L
36,BR
37,H
38,R
39,R
40,F
41,BR
42,H
43,B
44,BR
45,B
46,FR
47,BL
48,B
49,B
50,FR
51,F
52,B
53,H
54,FL
55,BL
56,F
57,L
58,L
59,F
60,BR
61,H
62,B
63,F
64,F
65,F
66,FL
67,B
68,R
69,F
70,B
71,R
72,B
73,R
74,BL
75,FL
76,FL
77,B
78,H
79,R
80,FR
81,R
82,FL
83,L
84,BR
85,B
86,FL
87,FR
88,R
89,FR
90,BR
91,R
92,BR
93,FR
94,FL
95,BR
96,F
97,FL
98,BR
99,FL
100,R
101,FL
102,FL
103,FL
104,H
105,R
106,FL
107,L
108,R
109,R
110,L
111,H
112,H
113,H
114,BR
115,BR
116,F
117,BL
118,BR
119,L
120,FL
121,B
122,B
123,BR
124,FL
125,B
126,F
127,F
128,B
129,B
130,H
131,FL
132,H
133,F
134,BR
135,FL
136,FR
137,BL
138,F
139,H
140,H
141,B
142,BR
143,FL
144,R
145,B
146,BR
147,BR
148,BR
149,BL
150,BR
151,H
152,FR
153,F
154,F
155,L
156,BL
157,H
158,H
159,H
160,FL
161,R
162,BL
163,B
164,BR
165,BR
166,H
167,B
168,FL
169,BL
170,B
171,BR
172,B
173,F
174,BL
175,H
176,BL
177,BL
178,BR
179,H
180,L
181,F
182,L
183,FR
184,B
185,L
186,L
187,FR
188,B
189,BL
190,H
191,FL
192,BL
193,B
194,FL
195,B
196,F
197,B
198,FL
199,F
