#{"t_start": 1646213276.8156483, "env_id": null}
r,l,t
-9,15,36.597094
-15,15,74.243706
-15,15,110.920104
-15,15,152.603674
0,14,196.780614
-15,15,237.849862
-15,15,272.226858
-15,15,319.512573
-15,15,353.337923
-15,15,394.076411
-15,15,423.431161
-15,15,447.159427
-15,15,486.758189
-15,15,515.949884
-15,15,545.909224
3,11,571.424596
-7,15,603.563555
-15,15,635.724387
-15,15,685.030097
-15,15,714.353769
-15,15,753.296229
-15,15,795.137551
-15,15,828.36481
-3,15,867.491055
-15,15,910.639928
-10,15,956.123296
-15,15,981.83501
-15,15,1014.859027
-10,15,1062.124039
-15,15,1092.236939
-15,15,1119.027191
-10,15,1152.264059
-10,15,1188.435887
-15,15,1218.482935
-6,15,1268.096011
-6,15,1297.887466
-15,15,1342.177068
-6,15,1386.539331
-3,15,1422.712166
-15,15,1456.745964
-10,15,1496.73387
-10,15,1546.094861
0,14,1571.952751
-10,15,1605.025525
-10,15,1642.406078
-7,15,1689.956728
-15,15,1727.229971
-15,15,1760.84501
-15,15,1803.085445
-1,15,1838.646005
-15,15,1884.88906
-4,15,1931.943161
-15,15,1983.814295
-15,15,2014.934952
-12,15,2051.809863
-15,15,2068.477126
-7,15,2121.656329
-15,15,2163.570964
-12,15,2212.101253
-7,15,2253.939499
-6,15,2302.75837
-1,15,2343.873823
-11,15,2376.177776
-7,15,2423.960749
-12,15,2465.953969
-15,15,2505.718186
-15,15,2552.4492
-15,15,2575.502097
-15,15,2621.631486
-11,15,2656.825177
-15,15,2692.972562
-15,15,2720.334025
-15,15,2753.613454
-11,15,2786.717663
-15,15,2823.237981
-15,15,2850.017744
-15,15,2879.281253
-12,15,2911.984438
-15,15,2949.386813
4,10,2975.208474
3,11,3014.02533
0,14,3043.447333
1,13,3072.895213
-10,15,3111.768409
-15,15,3157.870273
-15,15,3186.79722
-10,15,3213.139283
-15,15,3262.147962
-10,15,3298.72808
-10,15,3322.688326
-15,15,3372.548028
-15,15,3414.810152
-10,15,3454.575688
-15,15,3491.482068
-5,15,3530.587775
-10,15,3576.115472
-15,15,3616.162098
-15,15,3666.98798
-15,15,3700.078292
-15,15,3736.40673
3,11,3773.416699
-10,15,3820.923665
-10,15,3855.313508
-15,15,3889.628441
-15,15,3934.372485
6,8,3959.15424
-3,15,3997.275769
-10,15,4051.001521
-15,15,4081.240699
-15,15,4112.228448
-15,15,4155.1917
-15,15,4177.186772
3,11,4217.420028
-15,15,4252.695431
-15,15,4300.573539
-15,15,4330.731488
-10,15,4368.28885
-6,15,4412.018214
-15,15,4439.07837
-15,15,4467.420315
-15,15,4506.535796
-10,15,4540.116899
-15,15,4570.792447
-11,15,4608.067726
3,11,4631.898781
-15,15,4666.105557
-15,15,4708.394966
-15,15,4752.575328
5,9,4784.84401
-15,15,4812.522109
-15,15,4853.276238
-15,15,4884.760928
-6,15,4924.734691
-15,15,4953.963069
-15,15,4986.005521
-15,15,5025.005881
-10,15,5070.243333
-3,15,5106.0927
-15,15,5134.172701
-10,15,5172.582234
-5,15,5192.603549
-15,15,5212.467454
-8,15,5247.835612
-10,15,5269.618727
-11,15,5309.186259
-15,15,5342.202015
-10,15,5389.616443
-6,15,5429.545317
-8,15,5462.701047
6,8,5488.837804
-10,15,5518.197833
-10,15,5548.304504
2,12,5586.11541
